Time [s],SCLK,SDI,GPIO2,GPIO3
2.076653680,1,1,0,1
2.076654680,0,0,0,1
2.076655680,1,1,0,1
2.076656680,0,0,0,1
2.076670140,1,1,0,1
2.076671140,0,0,0,1
2.076672140,1,1,0,1
2.076673140,0,0,0,1
2.076674140,1,1,0,1
2.076675140,0,0,0,1
2.076676140,1,1,0,1
2.076677140,0,0,0,1
2.076678140,1,1,0,1
2.076679140,0,0,0,1
2.076680120,1,1,0,1
2.076681120,0,0,0,1
2.076682120,1,1,0,1
2.076683120,0,0,0,1
2.076684120,1,1,0,1
2.076685120,0,0,0,1
2.076718300,1,1,0,1
2.076719300,0,0,0,1
2.076720300,1,1,0,1
2.076721300,0,0,0,1
2.076722300,1,1,0,1
2.076723300,0,0,0,1
2.076724300,1,1,0,1
2.076725300,0,0,0,1
2.076726300,1,1,0,1
2.076727280,0,0,0,1
2.076728280,1,1,0,1
2.076729280,0,0,0,1
2.076730280,1,1,0,1
2.076731280,0,0,0,1
2.076732280,1,1,0,1
2.076733280,0,0,0,1
2.076745260,1,1,0,1
2.076746260,0,0,0,1
2.076747260,1,1,0,1
2.076748260,0,0,0,1
2.076749240,1,1,0,1
2.076750240,0,0,0,1
2.076751240,1,1,0,1
2.076752240,0,0,0,1
2.076753240,1,1,0,1
2.076754240,0,0,0,1
2.076755240,1,1,0,1
2.076756240,0,0,0,1
2.076757240,1,1,0,1
2.076758240,0,0,0,1
2.076759240,1,1,0,1
2.076760240,0,0,0,1
2.076784940,1,1,0,1
2.076785920,0,0,0,1
2.076786920,1,1,0,1
2.076787920,0,0,0,1
2.076788920,1,1,0,1
2.076789920,0,0,0,1
2.076790920,1,1,0,1
2.076791920,0,0,0,1
2.076792920,1,1,0,1
2.076793920,0,0,0,1
2.076794920,1,1,0,1
2.076795920,0,0,0,1
2.076796920,1,1,0,1
2.076797900,0,0,0,1
2.076798900,1,1,0,1
2.076799900,0,0,0,1
2.076813380,1,1,0,1
2.076814380,0,0,0,1
2.076815380,1,1,0,1
2.076816380,0,0,0,1
2.076817380,1,1,0,1
2.076818360,0,0,0,1
2.076819360,1,1,0,1
2.076820360,0,0,0,1
2.076821360,1,1,0,1
2.076822360,0,0,0,1
2.076823360,1,1,0,1
2.076824360,0,0,0,1
2.076825360,1,1,0,1
2.076826360,0,0,0,1
2.076827360,1,1,0,1
2.076828360,0,0,0,1
2.076841820,1,1,0,1
2.076842820,0,0,0,1
2.076843820,1,1,0,1
2.076844820,0,0,0,1
2.076845820,1,1,0,1
2.076846820,0,0,0,1
2.076847820,1,1,0,1
2.076848820,0,0,0,1
2.076849820,1,1,0,1
2.076850800,0,0,0,1
2.076851800,1,1,0,1
2.076852800,0,0,0,1
2.076853800,1,1,0,1
2.076854800,0,0,0,1
2.076855800,1,1,0,1
2.076856800,0,0,0,1
2.076870280,1,1,0,1
2.076871280,0,0,0,1
2.076872280,1,1,0,1
2.076873260,0,0,0,1
2.076874260,1,1,0,1
2.076875260,0,0,0,1
2.076876260,1,1,0,1
2.076877260,0,0,0,1
2.076878260,1,1,0,1
2.076879260,0,0,0,1
2.076880260,1,1,0,1
2.076881260,0,0,0,1
2.076882260,1,1,0,1
2.076883260,0,0,0,1
2.076884240,1,1,0,1
2.076885240,0,0,0,1
2.076898720,1,1,0,1
2.076899720,0,0,0,1
2.076900720,1,1,0,1
2.076901720,0,0,0,1
2.076902720,1,1,0,1
2.076903720,0,0,0,1
2.076904720,1,1,0,1
2.076905700,0,0,0,1
2.076906700,1,1,0,1
2.076907700,0,0,0,1
2.076908700,1,1,0,1
2.076909700,0,0,0,1
2.076910700,1,1,0,1
2.076911700,0,0,0,1
2.076912700,1,1,0,1
2.076913700,0,0,0,1
2.076948640,1,1,0,1
2.076949620,1,0,0,1
2.076949640,0,0,0,1
2.076950620,1,1,0,1
2.076951620,0,0,0,1
2.076952620,1,1,0,1
2.076953620,0,0,0,1
2.076954620,1,1,0,1
2.076955620,0,0,0,1
2.076956620,1,1,0,1
2.076957620,0,0,0,1
2.076958620,1,1,0,1
2.076959620,0,0,0,1
2.076960620,1,1,0,1
2.076961600,0,0,0,1
2.076962600,1,1,0,1
2.076963600,0,0,0,1
2.076977080,1,1,0,1
2.076978080,0,0,0,1
2.076979080,1,1,0,1
2.076980080,0,0,0,1
2.076981080,1,1,0,1
2.076982080,0,0,0,1
2.076983080,1,1,0,1
2.076984060,0,0,0,1
2.076985060,1,1,0,1
2.076986060,0,0,0,1
2.076987060,1,1,0,1
2.076988060,0,0,0,1
2.076989060,1,1,0,1
2.076990060,0,0,0,1
2.076991060,1,1,0,1
2.076992060,0,0,0,1
2.077005540,1,1,0,1
2.077006520,0,0,0,1
2.077007520,1,1,0,1
2.077008520,0,0,0,1
2.077009520,1,1,0,1
2.077010520,0,0,0,1
2.077011520,1,1,0,1
2.077012520,0,0,0,1
2.077013520,1,1,0,1
2.077014520,0,0,0,1
2.077015520,1,1,0,1
2.077016520,0,0,0,1
2.077017520,1,1,0,1
2.077018500,0,0,0,1
2.077019500,1,1,0,1
2.077020500,0,0,0,1
2.077033980,1,1,0,1
2.077034980,0,0,0,1
2.077035980,1,1,0,1
2.077036980,0,0,0,1
2.077037980,1,1,0,1
2.077038980,0,0,0,1
2.077039980,1,1,0,1
2.077040980,0,0,0,1
2.077041960,1,1,0,1
2.077042960,0,0,0,1
2.077043960,1,1,0,1
2.077044960,0,0,0,1
2.077045960,1,1,0,1
2.077046960,0,0,0,1
2.077047960,1,1,0,1
2.077048960,0,0,0,1
2.077062440,1,1,0,1
2.077063440,0,0,0,1
2.077064440,1,1,0,1
2.077065420,0,0,0,1
2.077066420,1,1,0,1
2.077067420,0,0,0,1
2.077068420,1,1,0,1
2.077069420,0,0,0,1
2.077070420,1,1,0,1
2.077071420,0,0,0,1
2.077072420,1,1,0,1
2.077073420,0,0,0,1
2.077074420,1,1,0,1
2.077075420,0,0,0,1
2.077076420,1,1,0,1
2.077077400,0,0,0,1
2.077090880,1,1,0,1
2.077091880,0,0,0,1
2.077092880,1,1,0,1
2.077093880,0,0,0,1
2.077094880,1,1,0,1
2.077095880,0,0,0,1
2.077096880,1,1,0,1
2.077097880,0,0,0,1
2.077098880,1,1,0,1
2.077099860,0,0,0,1
2.077100860,1,1,0,1
2.077101860,0,0,0,1
2.077102860,1,1,0,1
2.077103860,0,0,0,1
2.077104860,1,1,0,1
2.077105860,0,0,0,1
2.077159760,1,1,0,1
2.077160760,0,0,0,1
2.077161760,1,1,0,1
2.077162760,0,0,0,1
2.077163760,1,1,0,1
2.077164760,0,0,0,1
2.077165760,1,1,0,1
2.077166760,0,0,0,1
2.077167740,0,1,0,1
2.077167760,1,1,0,1
2.077168740,0,0,0,1
2.077169740,1,1,0,1
2.077170740,0,0,0,1
2.077171740,1,1,0,1
2.077172740,0,0,0,1
2.077173740,1,1,0,1
2.077174740,0,0,0,1
2.077186720,1,1,0,1
2.077187720,0,0,0,1
2.077188700,1,1,0,1
2.077189700,0,0,0,1
2.077190700,1,1,0,1
2.077191700,0,0,0,1
2.077192700,1,1,0,1
2.077193700,0,0,0,1
2.077194700,1,1,0,1
2.077195700,0,0,0,1
2.077196700,1,1,0,1
2.077197700,0,0,0,1
2.077198680,1,1,0,1
2.077199680,0,0,0,1
2.077200680,1,1,0,1
2.077201680,0,0,0,1
2.077226380,1,1,0,1
2.077227380,0,0,0,1
2.077228380,1,1,0,1
2.077229380,0,0,0,1
2.077230380,1,1,0,1
2.077231380,0,0,0,1
2.077232380,1,1,0,1
2.077233360,0,0,0,1
2.077234360,1,1,0,1
2.077235360,0,0,0,1
2.077236360,1,1,0,1
2.077237360,0,0,0,1
2.077238360,1,1,0,1
2.077239360,0,0,0,1
2.077240360,1,1,0,1
2.077241360,0,0,0,1
2.077276280,1,1,0,1
2.077277280,0,0,0,1
2.077278280,1,1,0,1
2.077279280,0,0,0,1
2.077280280,1,1,0,1
2.077281280,0,0,0,1
2.077282280,1,1,0,1
2.077283260,0,0,0,1
2.077284260,1,1,0,1
2.077285260,0,0,0,1
2.077286260,1,1,0,1
2.077287260,0,0,0,1
2.077288260,1,1,0,1
2.077289260,0,0,0,1
2.077290260,1,1,0,1
2.077291260,0,0,0,1
2.077304740,1,1,0,1
2.077305720,0,0,0,1
2.077306720,1,1,0,1
2.077307720,0,0,0,1
2.077308720,1,1,0,1
2.077309720,0,0,0,1
2.077310720,1,1,0,1
2.077311720,0,0,0,1
2.077312720,1,1,0,1
2.077313720,0,0,0,1
2.077314720,1,1,0,1
2.077315700,0,0,0,1
2.077316700,1,1,0,1
2.077317700,0,0,0,1
2.077318700,1,1,0,1
2.077319700,0,0,0,1
2.077333180,1,1,0,1
2.077334180,0,0,0,1
2.077335180,1,1,0,1
2.077336160,0,0,0,1
2.077337160,1,1,0,1
2.077338160,0,0,0,1
2.077339160,1,1,0,1
2.077340160,0,0,0,1
2.077341160,1,1,0,1
2.077342160,0,0,0,1
2.077343160,1,1,0,1
2.077344160,0,0,0,1
2.077345160,1,1,0,1
2.077346160,0,0,0,1
2.077347140,1,1,0,1
2.077348140,0,0,0,1
2.077361620,1,1,0,1
2.077362620,0,0,0,1
2.077363620,1,1,0,1
2.077364620,0,0,0,1
2.077365620,1,1,0,1
2.077366600,0,0,0,1
2.077367600,1,1,0,1
2.077368600,0,0,0,1
2.077369600,1,1,0,1
2.077370600,0,0,0,1
2.077371600,1,1,0,1
2.077372600,0,0,0,1
2.077373600,1,1,0,1
2.077374600,0,0,0,1
2.077375580,0,1,0,1
2.077375600,1,1,0,1
2.077376580,0,0,0,1
2.077390060,1,1,0,1
