Time [s],SCLK,SDO,SDI,nSEL
0.340377480,1,1,0,0
0.340378480,0,1,0,0
0.340379480,1,1,0,0
0.340380480,0,1,0,0
0.340381480,1,1,0,0
0.340382480,0,1,0,0
0.340383480,1,1,0,0
0.340384480,0,1,0,0
0.340385480,1,1,0,0
0.340386480,0,1,0,0
0.340387480,1,1,0,0
0.340388480,0,1,0,0
0.340389480,1,1,0,0
0.340390460,0,1,0,0
0.340425440,1,1,0,0
0.340426440,0,1,0,0
0.340427440,1,1,0,0
0.340428440,0,1,0,0
0.340429440,1,1,0,0
0.340430440,0,1,0,0
0.340431440,1,1,0,0
0.340432440,0,1,0,0
0.340433440,1,1,0,0
0.340434440,0,1,0,0
0.340435440,1,1,0,0
0.340436440,0,1,0,0
0.340437440,1,1,0,0
0.340438440,0,1,0,0
0.340439440,1,1,0,0
0.340440440,0,1,0,0
0.340452180,0,1,1,0
0.340453940,1,1,1,0
0.340454940,0,1,0,0
0.340455940,1,1,0,0
0.340456920,0,1,0,0
0.340456940,0,1,1,0
0.340457920,1,1,1,0
0.340458920,0,1,1,0
0.340459920,1,1,1,0
0.340460920,0,1,1,0
0.340461920,1,1,1,0
0.340462920,0,1,0,0
0.340463920,1,1,0,0
0.340464920,0,1,1,0
0.340465920,1,1,1,0
0.340466920,0,1,0,0
0.340467920,1,1,0,0
0.340468920,0,1,1,0
0.340482420,1,1,1,0
0.340483420,0,1,0,0
0.340484420,1,1,0,0
0.340485420,0,1,0,0
0.340486420,1,1,0,0
0.340487420,0,1,1,0
0.340488420,1,1,1,0
0.340489400,0,1,1,0
0.340490420,1,1,1,0
0.340491400,0,1,1,0
0.340492400,1,1,1,0
0.340493400,0,1,1,0
0.340494400,1,1,1,0
0.340495400,0,1,0,0
0.340496400,1,1,0,0
0.340497400,0,1,1,0
0.340507140,0,1,1,1
0.340516400,0,1,1,0
0.340520640,0,1,0,0
0.340522400,1,1,0,0
0.340523400,0,1,1,0
0.340524400,1,1,1,0
0.340525400,0,1,0,0
0.340526400,1,1,0,0
0.340527380,0,1,0,0
0.340528400,1,1,0,0
0.340529380,0,1,0,0
0.340530380,1,1,0,0
0.340531380,0,1,1,0
0.340532380,1,1,1,0
0.340533380,0,1,0,0
0.340534380,1,1,0,0
0.340535380,0,1,0,0
0.340536380,1,1,0,0
0.340537380,0,1,0,0
0.340537400,0,0,0,0
0.340547640,0,0,1,0
0.340549380,1,0,1,0
0.340550380,0,0,1,0
0.340551380,1,0,1,0
0.340552380,0,0,1,0
0.340553380,1,0,1,0
0.340554380,0,0,1,0
0.340555380,1,0,1,0
0.340556380,0,0,1,0
0.340557380,1,0,1,0
0.340558380,0,0,1,0
0.340559380,1,0,1,0
0.340560380,0,0,1,0
0.340561380,1,0,1,0
0.340562380,0,0,1,0
0.340563380,1,0,1,0
0.340564380,0,0,1,0
0.340572360,0,0,1,1
0.340573060,0,1,1,1
0.340573620,0,1,1,0
0.340577860,0,1,0,0
0.340579620,1,1,0,0
0.340580620,0,1,1,0
0.340581620,1,1,1,0
0.340582620,0,1,0,0
0.340583620,1,1,0,0
0.340584600,0,1,0,0
0.340585600,1,1,0,0
0.340586600,0,1,0,0
0.340587600,1,1,0,0
0.340588600,0,1,1,0
0.340589600,1,1,1,0
0.340590600,0,1,0,0
0.340591600,1,1,0,0
0.340592600,0,1,0,0
0.340593600,1,1,0,0
0.340594600,0,1,0,0
0.340594620,0,0,0,0
0.340604840,0,0,1,0
0.340606600,1,0,1,0
0.340607600,0,0,1,0
0.340608600,1,0,1,0
0.340609600,0,0,1,0
0.340610600,1,0,1,0
0.340611600,0,0,1,0
0.340612600,1,0,1,0
0.340613580,0,0,1,0
0.340614580,1,0,1,0
0.340615580,0,0,1,0
0.340616580,1,0,1,0
0.340617580,0,0,1,0
0.340618580,1,0,1,0
0.340619580,0,0,1,0
0.340620580,1,0,1,0
0.340621580,0,0,1,0
0.340629580,0,0,1,1
0.340630260,0,1,1,1
0.340630820,0,1,1,0
0.340635080,0,1,0,0
0.340636820,1,1,0,0
0.340637820,0,1,1,0
0.340638820,1,1,1,0
0.340639820,0,1,0,0
0.340640820,1,1,0,0
0.340641820,0,1,0,0
0.340642820,1,1,0,0
0.340643820,0,1,0,0
0.340644820,1,1,0,0
0.340645820,0,1,1,0
0.340646820,1,1,1,0
0.340647820,0,1,0,0
0.340648820,1,1,0,0
0.340649820,0,1,0,0
0.340650820,1,1,0,0
0.340651820,0,0,0,0
0.340662060,0,0,1,0
0.340663820,1,0,1,0
0.340664800,0,0,1,0
0.340665800,1,0,1,0
0.340666800,0,0,1,0
0.340667800,1,0,1,0
0.340668800,0,0,1,0
0.340669800,1,0,1,0
0.340670800,0,0,1,0
0.340671800,1,0,1,0
0.340672800,0,0,1,0
0.340673800,1,0,1,0
0.340674800,0,0,1,0
0.340675800,1,0,1,0
0.340676800,0,0,1,0
0.340677800,1,0,1,0
0.340678800,0,0,1,0
0.340686800,0,0,1,1
0.340687480,0,1,1,1
0.340688040,0,1,1,0
0.340692300,0,1,0,0
0.340694040,1,1,0,0
0.340695040,0,1,1,0
0.340696040,1,1,1,0
0.340697040,0,1,0,0
0.340698040,1,1,0,0
0.340699040,0,1,0,0
0.340700040,1,1,0,0
0.340701040,0,1,0,0
0.340702040,1,1,0,0
0.340703040,0,1,1,0
0.340704040,1,1,1,0
0.340705040,0,1,0,0
0.340706040,1,1,0,0
0.340707040,0,1,0,0
0.340708040,1,1,0,0
0.340709040,0,0,0,0
0.340719280,0,0,1,0
0.340721020,1,0,1,0
0.340722020,0,0,1,0
0.340723020,1,0,1,0
0.340724020,0,0,1,0
0.340725020,1,0,1,0
0.340726020,0,0,1,0
0.340727020,1,0,1,0
0.340728020,0,0,1,0
0.340729020,1,0,1,0
0.340730020,0,0,1,0
0.340731020,1,0,1,0
0.340732020,0,0,1,0
0.340733020,1,0,1,0
0.340734020,0,0,1,0
0.340735020,1,0,1,0
0.340736020,0,0,1,0
0.340749500,0,0,1,1
0.340750200,0,1,1,1
0.340750760,0,1,1,0
0.340755000,0,1,0,0
0.340756760,1,1,0,0
0.340757760,0,1,1,0
0.340758760,1,1,1,0
0.340759760,0,1,0,0
0.340760760,1,1,0,0
0.340761760,0,1,0,0
0.340762760,1,1,0,0
0.340763760,0,1,0,0
0.340764760,1,1,0,0
0.340765740,0,1,0,0
0.340765760,0,1,1,0
0.340766760,1,1,1,0
0.340767740,0,1,1,0
0.340767760,0,1,0,0
0.340768760,1,1,0,0
0.340769740,0,1,0,0
0.340770740,1,1,0,0
0.340771740,0,1,0,0
0.340771760,0,0,0,0
0.340782000,0,0,1,0
0.340783740,1,0,1,0
0.340784740,0,0,1,0
0.340785740,1,0,1,0
0.340786740,0,0,1,0
0.340787740,1,0,1,0
0.340788740,0,0,1,0
0.340789740,1,0,1,0
0.340790740,0,0,1,0
0.340791740,1,0,1,0
0.340792740,0,0,1,0
0.340793740,1,0,1,0
0.340794740,0,0,1,0
0.340795740,1,0,1,0
0.340796740,0,0,1,0
0.340797740,1,0,1,0
0.340798740,0,0,1,0
0.340806720,0,0,1,1
0.340807420,0,1,1,1
0.340807980,0,1,1,0
0.340812220,0,1,0,0
0.340813980,1,1,0,0
0.340814980,0,1,1,0
0.340815980,1,1,1,0
0.340816980,0,1,0,0
0.340817980,1,1,0,0
0.340818980,0,1,0,0
0.340819980,1,1,0,0
0.340820980,0,1,0,0
0.340821980,1,1,0,0
0.340822960,0,1,0,0
0.340822980,0,1,1,0
0.340823980,1,1,1,0
0.340824960,0,1,0,0
0.340825960,1,1,0,0
0.340826960,0,1,0,0
0.340827960,1,1,0,0
0.340828960,0,1,0,0
0.340828980,0,0,0,0
0.340839200,0,0,1,0
0.340840960,1,0,1,0
0.340841960,0,0,1,0
0.340842960,1,0,1,0
0.340843960,0,0,1,0
0.340844960,1,0,1,0
0.340845960,0,0,1,0
0.340846960,1,0,1,0
0.340847960,0,0,1,0
0.340848960,1,0,1,0
0.340849960,0,0,1,0
0.340850960,1,0,1,0
0.340851960,0,0,1,0
0.340852960,1,0,1,0
0.340853960,0,0,1,0
0.340854960,1,0,1,0
0.340855940,0,0,1,0
0.340863940,0,0,1,1
0.340864640,0,1,1,1
0.340865200,0,1,1,0
0.340869440,0,1,0,0
0.340871200,1,1,0,0
0.340872200,0,1,1,0
0.340873200,1,1,1,0
0.340874180,0,1,1,0
0.340874200,0,1,0,0
0.340875180,1,1,0,0
0.340876180,0,1,0,0
0.340877180,1,1,0,0
0.340878180,0,1,0,0
0.340879180,1,1,0,0
0.340880180,0,1,1,0
0.340881180,1,1,1,0
0.340882180,0,1,0,0
0.340883180,1,1,0,0
0.340884180,0,1,0,0
0.340885180,1,1,0,0
0.340886180,0,1,0,0
0.340886200,0,0,0,0
0.340896420,0,0,1,0
0.340898180,1,0,1,0
0.340899180,0,0,1,0
0.340900180,1,0,1,0
0.340901160,0,0,1,0
0.340902180,1,0,1,0
0.340903160,0,0,1,0
0.340904160,1,0,1,0
0.340905160,0,0,1,0
0.340906160,1,0,1,0
0.340907160,0,0,1,0
0.340908160,1,0,1,0
0.340909160,0,0,1,0
0.340910160,1,0,1,0
0.340911160,0,0,1,0
0.340912160,1,0,1,0
0.340913160,0,0,1,0
0.340921160,0,0,1,1
0.340921840,0,1,1,1
0.340922400,0,1,1,0
0.340926660,0,1,0,0
0.340928400,1,1,0,0
0.340929400,0,1,1,0
0.340930400,1,1,1,0
0.340931400,0,1,0,0
0.340932400,1,1,0,0
0.340933400,0,1,0,0
0.340934400,1,1,0,0
0.340935400,0,1,0,0
0.340936400,1,1,0,0
0.340937400,0,1,1,0
0.340938400,1,1,1,0
0.340939400,0,1,0,0
0.340940400,1,1,0,0
0.340941400,0,1,0,0
0.340942400,1,1,0,0
